res,team,oteam,day,mon,yea,gs,ogs,sh,osho,st,ost,co,oco,fo,ofo,ye,oye,re,ore
2,2,42,14,08,2010,3,0,23,12,11,2,16,7,15,15,1,2,0,0
0,42,2,14,08,2010,0,3,12,23,2,11,7,16,15,15,2,1,0,0
2,5,16,14,08,2010,1,0,7,17,2,12,1,3,19,14,2,1,0,0
0,16,5,14,08,2010,0,1,17,7,12,2,3,1,14,19,1,2,0,0
1,7,17,14,08,2010,0,0,13,12,9,7,4,8,12,13,1,3,0,0
1,17,7,14,08,2010,0,0,12,13,7,9,8,4,13,12,3,1,0,0
2,12,41,14,08,2010,6,0,18,10,13,4,3,1,10,10,1,0,0,0
0,41,12,14,08,2010,0,6,10,18,4,13,1,3,10,10,0,1,0,0
1,37,4,14,08,2010,2,2,6,13,2,7,3,6,13,10,3,3,1,0
1,4,37,14,08,2010,2,2,13,6,7,2,6,3,10,13,3,3,0,1
1,39,23,14,08,2010,0,0,22,11,18,7,10,3,13,16,0,2,0,0
1,23,39,14,08,2010,0,0,11,22,7,18,3,10,16,13,2,0,0,0
0,43,6,14,08,2010,0,4,11,9,6,7,6,4,8,11,1,1,0,0
2,6,43,14,08,2010,4,0,9,11,7,6,4,6,11,8,1,1,0,0
2,45,36,14,08,2010,2,1,13,10,7,6,5,5,17,13,0,2,0,0
0,36,45,14,08,2010,1,2,10,13,6,7,5,5,13,17,2,0,0,0
1,22,1,15,08,2010,1,1,7,14,4,7,9,11,13,15,1,3,1,1
1,1,22,15,08,2010,1,1,14,7,7,4,11,9,15,13,3,1,1,1
2,24,26,16,08,2010,3,0,18,7,10,3,5,3,9,5,2,2,0,0
0,26,24,16,08,2010,0,3,7,18,3,10,3,5,5,9,2,2,0,0
2,1,6,21,08,2010,6,0,26,3,16,1,8,2,9,3,0,0,0,1
0,6,1,21,08,2010,0,6,3,26,1,16,2,8,3,9,0,0,1,0
2,4,5,21,08,2010,2,1,10,7,7,2,4,12,13,14,2,3,0,0
0,5,4,21,08,2010,1,2,7,10,2,7,12,4,14,13,3,2,0,0
