res,team,oteam,day,mon,yea,gs,ogs,sh,osho,st,ost,co,oco,fo,ofo,ye,oye,re,ore
1,2,7,13,08,2005,2,2,3,13,2,6,7,8,14,16,0,2,0,0
1,7,2,13,08,2005,2,2,13,3,6,2,8,7,16,14,2,0,0,0
0,16,24,13,08,2005,0,2,10,12,5,5,8,6,15,14,3,1,0,0
2,24,16,13,08,2005,2,0,12,10,5,5,6,8,14,15,1,3,0,0
1,17,4,13,08,2005,0,0,15,7,7,4,6,6,12,13,1,2,0,0
1,4,17,13,08,2005,0,0,7,15,4,7,6,6,13,12,2,1,0,0
1,23,41,13,08,2005,0,0,15,13,8,3,3,6,13,11,2,3,0,0
1,41,23,13,08,2005,0,0,13,15,3,8,6,3,11,13,3,2,0,0
1,25,22,13,08,2005,0,0,4,16,2,7,5,0,17,11,2,3,1,0
1,22,25,13,08,2005,0,0,16,4,7,2,0,5,11,17,3,2,0,1
0,30,39,13,08,2005,0,2,11,11,7,6,7,2,13,23,0,2,0,0
2,39,30,13,08,2005,2,0,11,11,6,7,2,7,23,13,2,0,0,0
0,37,11,13,08,2005,1,3,12,14,8,4,5,5,15,17,2,0,0,1
2,11,37,13,08,2005,3,1,14,12,4,8,5,5,17,15,0,2,1,0
2,42,5,13,08,2005,3,1,13,11,5,5,2,6,11,14,0,1,0,1
0,5,42,13,08,2005,1,3,11,13,5,5,6,2,14,11,1,0,1,0
2,1,26,14,08,2005,2,0,15,2,12,1,8,3,15,17,0,1,0,1
0,26,1,14,08,2005,0,2,2,15,1,12,3,8,17,15,1,0,1,0
0,43,12,14,08,2005,0,1,12,20,5,9,2,6,14,7,1,0,0,0
2,12,43,14,08,2005,1,0,20,12,9,5,6,2,7,14,0,1,0,0
0,4,23,20,08,2005,1,2,9,9,2,6,9,4,7,12,3,1,0,0
2,23,4,20,08,2005,2,1,9,9,6,2,4,9,12,7,1,3,0,0
2,5,17,20,08,2005,2,1,16,8,9,4,8,1,26,14,2,2,0,0
0,17,5,20,08,2005,1,2,8,16,4,9,1,8,14,26,2,2,0,0
2,11,43,20,08,2005,1,0,21,4,10,0,4,4,10,11,0,1,0,0
0,43,11,20,08,2005,0,1,4,21,0,10,4,4,11,10,1,0,0,0
2,22,37,20,08,2005,1,0,15,2,6,0,5,5,8,20,2,3,0,1
0,37,22,20,08,2005,0,1,2,15,0,6,5,5,20,8,3,2,1,0
2,24,2,20,08,2005,1,0,18,3,12,3,11,7,13,21,2,1,0,0
0,2,24,20,08,2005,0,1,3,18,3,12,7,11,21,13,1,2,0,0
1,26,42,20,08,2005,0,0,14,6,6,1,10,2,9,11,1,1,0,1
1,42,26,20,08,2005,0,0,6,14,1,6,2,10,11,9,1,1,1,0
2,39,25,20,08,2005,2,0,18,12,8,3,5,6,16,10,3,1,0,0
0,25,39,20,08,2005,0,2,12,18,3,8,6,5,10,16,1,3,0,0
2,41,30,20,08,2005,2,1,6,10,2,2,3,3,21,19,4,3,0,0
0,30,41,20,08,2005,1,2,10,6,2,2,3,3,19,21,3,4,0,0
0,7,16,21,08,2005,0,1,16,3,6,1,8,3,10,13,0,1,0,0
2,16,7,21,08,2005,1,0,3,16,1,6,3,8,13,10,1,0,0,0
2,12,1,21,08,2005,1,0,9,9,6,3,3,7,17,21,2,3,0,0
0,1,12,21,08,2005,0,1,9,9,3,6,7,3,21,17,3,2,0,0
0,4,25,23,08,2005,0,3,14,8,8,3,2,2,14,15,0,1,0,0
2,25,4,23,08,2005,3,0,8,14,3,8,2,2,15,14,1,0,0,0
1,30,2,23,08,2005,1,1,20,7,11,3,13,4,12,10,3,1,0,1
1,2,30,23,08,2005,1,1,7,20,3,11,4,13,10,12,1,3,1,0
0,37,23,23,08,2005,1,2,15,12,10,7,5,3,10,10,1,2,0,0
2,23,37,23,08,2005,2,1,12,15,7,10,3,5,10,10,2,1,0,0
2,1,17,24,08,2005,4,1,20,8,14,3,6,7,16,11,5,2,0,0
0,17,1,24,08,2005,1,4,8,20,3,14,7,6,11,16,2,5,0,0
1,5,39,24,08,2005,0,0,11,1,7,1,7,0,15,12,2,2,1,0
1,39,5,24,08,2005,0,0,1,11,1,7,0,7,12,15,2,2,0,1
2,7,26,24,08,2005,2,0,14,7,6,4,4,3,12,17,0,1,0,0
0,26,7,24,08,2005,0,2,7,14,4,6,3,4,17,12,1,0,0,0
2,12,41,24,08,2005,4,0,11,0,8,0,9,1,10,7,0,1,0,0
0,41,12,24,08,2005,0,4,0,11,0,8,1,9,7,10,1,0,0,0
2,2,5,27,08,2005,1,0,10,9,3,2,4,11,13,16,2,2,0,0
0,5,2,27,08,2005,0,1,9,10,2,3,11,4,16,13,2,2,0,0
2,17,16,27,08,2005,1,0,9,6,4,2,6,2,19,25,1,2,0,1
0,16,17,27,08,2005,0,1,6,9,2,4,2,6,25,19,2,1,1,0
2,23,30,27,08,2005,2,1,16,7,9,2,12,3,13,17,1,2,0,0
0,30,23,27,08,2005,1,2,7,16,2,9,3,12,17,13,2,1,0,0
0,39,12,27,08,2005,0,2,11,13,6,7,2,5,16,12,3,2,1,0
2,12,39,27,08,2005,2,0,13,11,7,6,5,2,12,16,2,3,0,1
0,41,4,27,08,2005,2,3,15,8,8,7,3,2,11,24,1,3,0,0
2,4,41,27,08,2005,3,2,8,15,7,8,2,3,24,11,3,1,0,0
0,42,7,27,08,2005,1,2,13,10,6,6,7,7,13,16,1,4,0,0
2,7,42,27,08,2005,2,1,10,13,6,6,7,7,16,13,4,1,0,0
2,43,37,27,08,2005,1,0,11,9,5,7,0,6,11,13,3,3,0,0
0,37,43,27,08,2005,0,1,9,11,7,5,6,0,13,11,3,3,0,0
0,25,11,28,08,2005,0,3,10,12,6,8,6,1,18,15,2,1,0,0
2,11,25,28,08,2005,3,0,12,10,8,6,1,6,15,18,1,2,0,0
0,26,24,28,08,2005,0,2,9,11,4,5,5,3,26,16,1,2,0,0
2,24,26,28,08,2005,2,0,11,9,5,4,3,5,16,26,2,1,0,0
0,4,11,10,09,2005,0,1,18,8,5,4,13,4,9,10,0,2,0,0
2,11,4,10,09,2005,1,0,8,18,4,5,4,13,10,9,2,0,0,0
2,12,37,10,09,2005,2,0,9,2,6,2,4,2,14,10,1,0,0,0
0,37,12,10,09,2005,0,2,2,9,2,6,2,4,10,14,0,1,0,0
0,16,30,10,09,2005,0,1,11,12,6,8,11,6,10,12,2,1,0,0
2,30,16,10,09,2005,1,0,12,11,8,6,6,11,12,10,1,2,0,0
1,24,23,10,09,2005,1,1,7,5,2,3,3,5,12,18,1,4,0,0
1,23,24,10,09,2005,1,1,5,7,3,2,5,3,18,12,4,1,0,0
2,25,1,10,09,2005,2,1,6,13,5,8,6,7,17,16,3,4,0,0
0,1,25,10,09,2005,1,2,13,6,8,5,7,6,16,17,4,3,0,0
1,26,17,10,09,2005,1,1,15,13,10,8,10,8,19,16,4,1,1,0
1,17,26,10,09,2005,1,1,13,15,8,10,8,10,16,19,1,4,0,1
1,39,22,10,09,2005,0,0,10,11,7,6,4,4,16,13,1,1,0,0
1,22,39,10,09,2005,0,0,11,10,6,7,4,4,13,16,1,1,0,0
0,41,43,10,09,2005,1,2,10,9,5,4,5,0,19,15,3,1,0,0
2,43,41,10,09,2005,2,1,9,10,4,5,0,5,15,19,1,3,0,0
1,7,5,11,09,2005,0,0,12,7,6,3,4,4,18,17,1,2,0,0
1,5,7,11,09,2005,0,0,7,12,3,6,4,4,17,18,2,1,0,0
2,42,2,12,09,2005,4,0,14,14,9,8,4,11,15,12,0,1,0,0
0,2,42,12,09,2005,0,4,14,14,8,9,11,4,12,15,1,0,0,0
1,2,39,17,09,2005,1,1,13,13,6,7,4,3,14,14,1,2,0,0
1,39,2,17,09,2005,1,1,13,13,7,6,3,4,14,14,2,1,0,0
0,11,12,17,09,2005,0,2,11,16,4,11,2,7,11,10,0,2,0,0
2,12,11,17,09,2005,2,0,16,11,11,4,7,2,10,11,2,0,0,0
0,17,42,17,09,2005,1,2,9,10,6,3,4,6,11,14,2,1,0,0
2,42,17,17,09,2005,2,1,10,9,3,6,6,4,14,11,1,2,0,0
1,30,4,17,09,2005,1,1,14,3,9,2,7,3,16,14,2,0,0,1
1,4,30,17,09,2005,1,1,3,14,2,9,3,7,14,16,0,2,1,0
1,37,41,17,09,2005,1,1,11,13,6,6,1,9,19,11,0,3,0,0
1,41,37,17,09,2005,1,1,13,11,6,6,9,1,11,19,3,0,0,0
0,5,26,18,09,2005,0,3,17,4,10,3,7,2,14,19,1,5,0,1
2,26,5,18,09,2005,3,0,4,17,3,10,2,7,19,14,5,1,1,0
1,22,24,18,09,2005,0,0,9,4,3,1,4,2,24,15,2,2,0,0
1,24,22,18,09,2005,0,0,4,9,1,3,2,4,15,24,2,2,0,0
0,23,7,18,09,2005,0,1,17,5,8,1,7,5,14,16,1,1,0,0
2,7,23,18,09,2005,1,0,5,17,1,8,5,7,16,14,1,1,0,0
1,43,25,18,09,2005,1,1,11,10,4,3,4,5,11,16,0,1,0,0
1,25,43,18,09,2005,1,1,10,11,3,4,5,4,16,11,1,0,0,0
2,1,16,19,09,2005,2,0,11,4,4,2,4,0,13,19,2,3,0,0
0,16,1,19,09,2005,0,2,4,11,2,4,0,4,19,13,3,2,0,0
1,4,22,24,09,2005,2,2,4,14,4,6,3,7,14,14,2,3,1,0
1,22,4,24,09,2005,2,2,14,4,6,4,7,3,14,14,3,2,0,1
2,7,30,24,09,2005,1,0,11,6,2,4,7,3,9,6,2,2,0,0
0,30,7,24,09,2005,0,1,6,11,4,2,3,7,6,9,2,2,0,0
2,12,2,24,09,2005,2,1,18,3,6,2,9,1,8,17,1,1,0,0
0,2,12,24,09,2005,1,2,3,18,2,6,1,9,17,8,1,1,0,0
0,16,43,24,09,2005,0,1,14,11,7,3,11,3,17,21,2,1,0,0
2,43,16,24,09,2005,1,0,11,14,3,7,3,11,21,17,1,2,0,0
0,24,5,24,09,2005,1,2,27,10,8,10,7,1,13,15,1,3,0,0
2,5,24,24,09,2005,2,1,10,27,10,8,1,7,15,13,3,1,0,0
2,26,23,24,09,2005,1,0,8,8,6,4,3,6,14,14,0,2,0,0
0,23,26,24,09,2005,0,1,8,8,4,6,6,3,14,14,2,0,0,0
0,41,11,24,09,2005,1,2,18,8,10,4,6,3,10,12,0,1,0,0
2,11,41,24,09,2005,2,1,8,18,4,10,3,6,12,10,1,0,0,0
1,42,1,24,09,2005,0,0,6,8,0,2,4,3,11,7,2,0,0,0
1,1,42,24,09,2005,0,0,8,6,2,0,3,4,7,11,0,2,0,0
0,25,37,25,09,2005,0,2,20,4,11,2,8,2,13,21,3,2,0,0
2,37,25,25,09,2005,2,0,4,20,2,11,2,8,21,13,2,3,0,0
2,39,17,26,09,2005,1,0,9,8,4,5,6,6,10,9,0,3,0,0
0,17,39,26,09,2005,0,1,8,9,5,4,6,6,9,10,3,0,0,0
2,5,41,01,10,2005,2,0,20,6,11,3,11,1,15,17,2,0,0,0
0,41,5,01,10,2005,0,2,6,20,3,11,1,11,17,15,0,2,0,0
0,11,39,01,10,2005,2,3,9,13,4,7,1,6,15,17,3,2,0,0
2,39,11,01,10,2005,3,2,13,9,7,4,6,1,17,15,2,3,0,0
0,17,24,01,10,2005,2,3,11,11,6,7,3,9,20,11,2,1,0,0
2,24,17,01,10,2005,3,2,11,11,7,6,9,3,11,20,1,2,0,0
1,30,26,01,10,2005,0,0,10,6,6,3,4,4,12,12,1,2,0,0
1,26,30,01,10,2005,0,0,6,10,3,6,4,4,12,12,2,1,0,0
1,37,42,01,10,2005,1,1,16,6,8,3,5,3,12,15,1,5,0,0
1,42,37,01,10,2005,1,1,6,16,3,8,3,5,15,12,5,1,0,0
2,1,4,02,10,2005,1,0,16,2,13,2,11,4,13,17,0,1,0,1
0,4,1,02,10,2005,0,1,2,16,2,13,4,11,17,13,1,0,1,0
0,2,25,02,10,2005,2,3,13,13,6,10,6,5,17,10,4,1,0,0
2,25,2,02,10,2005,3,2,13,13,10,6,5,6,10,17,1,4,0,0
0,22,12,02,10,2005,1,4,11,7,5,5,4,2,15,17,1,3,0,0
2,12,22,02,10,2005,4,1,7,11,5,5,2,4,17,15,3,1,0,0
2,23,16,02,10,2005,2,0,14,5,5,4,4,2,16,10,1,0,0,0
0,16,23,02,10,2005,0,2,5,14,4,5,2,4,10,16,0,1,0,0
2,43,7,02,10,2005,2,1,16,13,9,4,4,8,11,14,0,2,0,0
0,7,43,02,10,2005,1,2,13,16,4,9,8,4,14,11,2,0,0,0
2,12,7,15,10,2005,5,1,17,4,8,2,5,3,10,17,2,2,0,1
0,7,12,15,10,2005,1,5,4,17,2,8,3,5,17,10,2,2,1,0
2,22,5,15,10,2005,1,0,19,4,5,1,9,2,8,22,0,3,0,1
0,5,22,15,10,2005,0,1,4,19,1,5,2,9,22,8,3,0,1,0
1,25,30,15,10,2005,1,1,14,9,7,4,6,3,12,12,2,3,0,0
1,30,25,15,10,2005,1,1,9,14,4,7,3,6,12,12,3,2,0,0
0,37,24,15,10,2005,1,3,11,15,6,9,4,5,12,10,3,1,0,0
2,24,37,15,10,2005,3,1,15,11,9,6,5,4,10,12,1,3,0,0
2,39,16,15,10,2005,2,0,7,8,5,4,5,8,13,9,0,2,0,0
